research_id,jurisdiction,kind,location,travel_direction,mobility,source_status,date_as_listed,latitude,longitude,coordinate_status,release_ready,checked_at,source_url,notes
ABQ-01,Albuquerque,speed,Gibson between Carlisle and San Mateo,EB,fixed,live,2022-04-25,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-02,Albuquerque,speed,Gibson between Carlisle and San Mateo,WB,fixed,live,2022-04-25,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-03,Albuquerque,speed,Unser at Tower,NB,fixed,live,2022-06-10,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-04,Albuquerque,speed,San Mateo just north of Montgomery,SB,fixed,live,2022-08-01,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-05,Albuquerque,speed,Lomas at Virginia,WB,fixed,live,2022-08-01,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-06,Albuquerque,speed,Unser at Flor Del Sol just north of Dellyne,NB,fixed,live,2022-08-01,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-07,Albuquerque,speed,Coal at Cornell,EB,fixed,live,2022-08-08,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-08,Albuquerque,speed,Central between Tingley and New York,WB,fixed,live,2022-08-15,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-09,Albuquerque,speed,Montgomery and Jennifer,WB,fixed,live,2023-03-13,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-10,Albuquerque,speed,Montgomery and Julie,EB,fixed,live,2023-03-13,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-11,Albuquerque,speed,98th between Tower and Central,NB,fixed,live,2023-03-29,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-12,Albuquerque,speed,Avenida Cesar Chavez and Walter,EB,fixed,live,2023-04-12,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
